name,genre
 Draaco Aventura ,Pop Latino
 Justin Bieber ,Pop
 Peer van Mladen ,House
 Chris Janson ,Country
 One Direction ,Pop
 Drake ,Hip-Hop/Rap
 Carrie Underwood ,Country
 Ed Sheeran ,Singer/Songwriter
 Taylor Swift ,Pop
 Chris Brown ,Pop
 Nicki Minaj ,Hip-Hop
 Fifth Harmony ,Pop
 Thomas Rhett  ,Contemporary Country
 Eminem ,Rap
 Beyoncé ,Pop
 Twenty One Pilots ,Alternative
 5 Seconds Of Summer ,Pop/Rock
 Jason Aldean ,Country
 Luke Bryan ,Contemporary Country
 Blake Shelton ,Country
 Rihanna ,Pop
 Elvis Presley ,Rock
 Ariana Grande ,Pop
 JD Shelburne ,Country
 Lil Wayne ,Hip-Hop/Rap
 Demi Lovato ,Pop
 Maroon 5 ,Pop/Rock
 George Strait ,Country
 Wiz Khalifa ,Hip-Hop/Rap
 Miranda Lambert ,Country
 Katy Perry ,Pop
 Miley Cyrus ,Pop
 Tim McGraw ,Country
 The Weeknd ,R&B/Soul
 Macklemore & Ryan Lewis ,Hip-Hop
 Ellie Goulding ,Pop
 Michael Jackson ,Pop
 Rascal Flatts ,Country
 Britney Spears ,Pop
 Zac Brown Band ,Country
 Hearty2Raw ,Hip-Hop/Rap
 Future ,Hip-Hop/Rap
 Lady Antebellum ,Country
 Keith Urban ,Country
 Tori Kelly ,Pop/Rock
 2Pac ,Gangsta Rap
 Ciara ,Pop
 Old Dominion ,Country
 Randy Houser ,Country
 Eric Church ,Country
 Shakira ,World/International
 Little Big Town ,Country
 Rick Ross ,Hip-Hop/Rap
 Toby Keith ,Country
 Sia ,Pop
 Dixie Chicks ,Country
 Kanye West ,Hip-Hop/Rap
 Shania Twain ,Country
 Enrique Iglesias ,Pop
 Kellie Pickler ,Country
 Lana Del Rey ,Alternative
 Freddie Mercury ,Rock
 Martin Garrix ,House
 Brett Eldredge ,Country
 Trey Songz ,R&B/Soul
 Mariah Carey ,Pop
 Jennifer Lopez ,Pop
 R. Kelly ,R&B/Soul
 50 Cent ,Hip-Hop/Rap
 Kenny Chesney ,Country
 Linkin Park ,Alternative
 Akon ,Hip-Hop/Rap
 Avenged Sevenfold ,Hard Rock
 John Legend ,R&B/Soul
 Cole Swindell ,Country
 Chris Young ,Contemporary Country
 Hunter Hayes ,Country
 Canaan Smith ,Country
 Madonna ,Pop
 Coldplay ,Rock
 Jay Z ,Hip-Hop/Rap
 Lady Gaga ,Pop
 Iggy Azalea ,Hip-Hop/Rap
 Chase Rice ,Country
 Danielle Bradbery ,Country
 Dustin Lynch ,Country
 Kacey Musgraves ,Country
 Alan Jackson ,Country
 Backstreet Boys ,Pop
 The Vamps ,Pop/Rock
 Kendrick Lamar ,Alternative Rap
 Becky G ,Pop
 Josh Turner ,Country
 Brad Paisley ,Country
 Rachel Platten ,Pop
 Reba McEntire ,Contemporary Country
 Darius Rucker ,Country
 Florida Georgia Line ,Contemporary Country
 Barbra Streisand ,Pop
 Fall Out Boy ,Alternative
 K. Michelle ,R&B/Soul
 Calvin Harris ,Pop
 Jana Kramer ,Country
 Kenny Rogers ,Country
 Rita Ora ,Pop
 TLC ,R&B/Soul
 Aaliyah ,R&B/Soul
 Kirk Franklin ,R&B/Soul
 Kid Rock ,Rock
 Skrillex ,Electronic
 Ed Roman ,Folk-Rock
 Lonestar ,Alternative Country
 Nelly ,Hip-Hop/Rap
 Willie Nelson ,Country
 Charli XCX ,Pop
 Jessie J ,Pop
 Westlife ,Pop
 Tinashe ,R&B/Soul
 DMX ,Hip-Hop/Rap
 Meek Mill ,Hip-Hop
 Usher ,Pop
 Dolly Parton ,Country
 Foo Fighters ,Rock
 Mark Wills ,Country
 Pentatonix ,Pop
 Flo Rida ,Rap
 Whitney Houston ,Pop
 Avril Lavigne ,Pop
 Pharrell Williams ,Pop
 Dwight Yoakam ,Country
 Lee Brice ,Country
 Johnny Cash ,Country
 Vince Gill ,Country
 Imagine Dragons ,Alternative
 Jake Owen ,Contemporary Country
 Martina McBride ,Country
 Colt Ford ,Country
 Dierks Bentley ,Country
 Guns N' Roses ,Rock
 Justin Timberlake ,Pop
 Kelly Clarkson ,Pop
 Metallica ,Metal
 Scotty McCreery ,Country
 Merle Haggard ,Country
 Alessia Cara ,Pop
 A Thousand Horses ,Southern Rock
 Brooks & Dunn ,Country
 Elle King ,Alternative
 Rod Stewart ,Rock
 Ja Rule ,Hip-Hop/Rap
 Lauren Alaina ,Country
 Marc Anthony ,World/International
 Tyler Farr ,Contemporary Country
 Adam Lambert ,Pop
 Gary Allan ,Country
 George Jones ,syndicated_group_a
 Krystal Keith ,Country
 Ray Charles ,Vocal Jazz
 Red Hot Chili Peppers ,Rock
 August Alsina ,R&B/Soul
 Air Supply ,Pop
 Brandy ,R&B/Soul
 OneRepublic ,Pop/Rock
 Pitbull ,Pop/Rock
 Robin Thicke ,R&B/Soul
